Food_Code,Food_Name,Description,Group,Protein,Fat,Carbohydrate,Energy,Total_sugars
18-399,"Heart, ox, stewed","10 samples, fat and valves removed",MG,27.8,5.1,0,157,0
18-400,"Heart, pig, raw",12 samples,MG,17.1,3.2,0,97,0
18-401,"Heart, pig, stewed","10 samples, fat and valves removed",MG,25.1,6.8,0,162,0
16-176,"Herring, flesh only, grilled","Samples gutted, grilled for 7 minutes per side",JC,20.1,11.2,0,181,0
16-177,"Herring, flesh only, grilled, weighed with bones and skin",Calculated from grilled 16-176,JC,13.7,7.6,0,123,0
16-175,"Herring, flesh only, raw","35 fish, purchased whole over the year",JC,17.8,13.2,0,190,0
16-183,"Herring, pickled","6 samples, loose rollmops and in jars",JC,16.7,11.1,10,209,10
17-848,"High juice drink, diluted",Calculated from 50g concentrate to 200ml water,PCC,0.1,Tr,8.5,32,8.5
17-674,"High juice drink, no added sugar, undiluted","Typically 50% juice. Estimated from high juice drink, undiluted and label data",PCC,0.3,Tr,4.6,18,4.6
17-740,"High juice drink, undiluted","Typically 50% juice with 35-45% sugar. Estimated from high juice drink, undiluted and label data",PCC,0.3,Tr,42.6,161,42.6
16-184,"Hilsa, raw",Literature sources. Imported frozen from Bangladesh,JC,21.8,19.4,0,262,0
16-079,"Hoki, grilled","Calculated from raw 16-078, fillets",JA,24.1,2.7,0,121,0
16-078,"Hoki, raw",Literature sources. White fleshed fish from New Zealand,JA,16.9,1.9,0,85,0
17-800,"Hollandaise sauce, homemade",Recipe,WC,5.1,77.9,0.9,717,0.5
17-050,Honey,8 samples; assorted types,SC,0.4,0,76.4,288,76.4
17-051,Honey and comb,"2 samples, honey and comb together",SC,0.6,4.6,74.4,281,74.4
17-801,"Horlicks powder, made up with semi-skimmed milk",Recipe. Calculated from 25g powder to 200ml milk,PAA,4.1,1.8,13.5,83,8.5
17-802,"Horlicks powder, made up with skimmed milk",Recipe. Calculated from 25g powder to 200ml milk,PAA,4.1,0.6,13.5,72,8.5
17-803,"Horlicks powder, made up with whole milk","Recipe, Calculated from 25g powder to 200ml milk",PAA,4.1,3.5,13.3,98,8.4
17-731,"Horlicks, powder",Manufacturer's data (GlaxoSmithKline),PAA,9.4,3.1,83.7,379,38.9
17-314,Horseradish sauce,"8 samples, 5 brands; creamed and plain samples",WCN,2.5,8.4,17.9,153,15
13-258,"Horseradish, raw",Flesh of root,DG,4.5,0.3,11,62,7.3
11-1084,"Hot cross buns, homemade",Recipe,AP,7.3,5.8,58.3,312,23.4
19-522,"Hot pot, lamb/beef with potatoes, retail, reheated","10 samples, 6 brands of beef, lamb and Lancashire hot pot.  10-32% meat, chilled and frozen",MR,7.2,4.4,10.6,108,1
13-556,Houmous,Chick pea spread,DB,6.8,26.7,10.5,307,0.6
12-510,"Ice cream bars/choc ices, chocolate coated, luxury","11 samples, 5 products, including Magnum, Galaxy",BP,3.9,21.1,34.9,336,32.9
12-384,"Ice cream bars/choc ices, non-dairy, with chocolate flavoured coating","10 samples, 6 products",BP,3.2,21.7,23.2,295,20.5
12-385,"Ice cream desserts, frozen","10 samples, 7 brands e.g. Viennetta, Romantica, After Eight",BP,3.5,17.6,21,251,19.7
17-689,"Ice cream sauce, topping, strawberry and chocolate flavours","8 samples, 3 brands; strawberry and chocolate flavours",SC,0.4,0.2,72.7,276,62.3
12-581,"Ice cream with cone, non-dairy, vanilla",Recipe,BP,2.9,7.5,32,200,22.6
12-582,"Ice cream with wafers, non-dairy, vanilla",Recipe,BP,2.9,7.5,31.7,199,22.7
12-511,"Ice cream, dairy, luxury, with chocolate/caramel","10 samples, 7 products, including Ben & Jerry's, Haagen-Dazs and own brands",BP,4.2,13.9,32.2,262,28.4
12-508,"Ice cream, dairy, vanilla, soft scoop","10 samples, 7 products, including Wall's, Mackies and own brands",BP,3.2,8.2,22,169,22
12-509,"Ice cream, non dairy, vanilla, soft scoop","10 samples, 8 products, including Wall's, Carte D'or and own brands",BP,2.6,7.7,29.8,192,23.5
12-482,"Ice cream, virtually fat free alternative","8 samples, 2 products",BP,4.4,0.8,20.6,102,19
11-828,"Iced buns, retail","10 samples, 7 products",AN,6,7.8,60.8,322,25.8
17-783,"Icing, butter, homemade",Recipe,S,0.2,29.4,63.4,507,62.8
17-804,"Icing, fondant, homemade",Recipe,S,1.3,Tr,90.1,343,88.9
17-583,"Icing, glace, homemade",Recipe,SC,Tr,0,88.9,333,88
17-805,"Icing, Royal, homemade",Recipe,SC,1.1,Tr,93.4,354,92.4
12-583,"Instant dessert powder, made up with skimmed milk",Recipe,BR,3.3,3.2,14.4,96,11
12-584,"Instant dessert powder, made up with whole milk",Recipe,BR,3.2,6,14.3,121,10.9
17-732,"Instant drinks powder, chocolate, low calorie","11 samples, 6 brands, assorted flavours, including Ovaltine Options, Cadbury Highlights and own brands",PAA,16,11.1,52,359,33.6
17-825,"Instant drinks powder, malted, unfortified","10 samples, 3 brands. Own brands",PAA,5.7,6.2,82.5,388,54.8
16-185,"Jackfish, raw",Data from Seafish Industry Authority and literature sources,JC,21.7,2.4,0,108,0
13-259,"Jackfruit, raw",Literature sources,DG,1.3,0.3,21.4,88,20.6
11-739,Jaffa cakes,"10 samples, 6 products, including McVities, Lyons and own brands",AM,4.4,8.5,69.3,354,51.6
11-846,"Jam tarts, retail","10 samples, 6 products",AS,3.2,13.5,58.2,353,32.1
17-073,"Jam, fruit with edible seeds","10 samples, 5 flavours",SC,0.6,0,69,261,69
17-075,"Jam, reduced sugar","9 samples, 5 brands; assorted flavours",SC,0.5,0.1,31.9,123,31.9
17-688,"Jam, stone fruit","8 samples, 4 flavours",SC,0.4,0,69.3,261,69.3
14-121,"Jambu fruit, flesh only",Literature sources,FA,0.7,0.3,12.4,55,N
11-1088,"Jellabi, homemade",Recipe,AP,4.2,14.9,57.5,369,N
12-240,"Jelly, made with skimmed milk",Recipe,BR,2.6,Tr,16.8,73,16.8
12-237,"Jelly, made with water",Recipe,BR,1.2,Tr,15.1,61,15.1
12-516,"Jelly, sugar free, made with water",Recipe,BR,1.6,0,Tr,6,0
16-080,"John Dory, raw",Analytical and literature sources,JA,19,1.4,0,89,0
14-122,"Jujube, flesh only",Literature sources;,FA,1.5,0.3,19.7,87,19.7
16-081,"Kalabasu, raw",Literature sources. Imported frozen from Bangladesh,JA,14.7,1,0,68,0
16-186,"Katla, raw",Literature sources. Imported frozen from Bangladesh,JA,19.5,2.4,0,100,0
19-615,"Kebabs, pork and pineapple, homemade",Recipe,MR,14.4,9.9,5.9,170,6.1
16-447,"Kedgeree, homemade",Recipe,JR,15.9,7.7,9.1,167,Tr
15-809,Khadhi,Recipe. Gujerati dish. Yogurt with chick pea flour and spices.,DR,3.4,2.8,6.6,63,4.5
15-810,Khatiyu,Recipe. Gujerati dish. Whole pigeon peas with jaggery and spices.,DR,8.5,7,25.8,192,3.8
19-587,"Kheema, beef, homemade",Recipe,MR,11.7,10.8,4.6,160,2.6
19-480,"Kheema, lamb, homemade",Recipe,MR,11,13.4,4,178,2.4
19-593,"Kheema, lamb, reduced fat, homemade",Recipe,MR,11.4,9.4,3.2,142,1.6
15-528,"Khichadi, with butter ghee",Recipe. Mung bean and rice dish.,DR,4.8,5.2,27.3,169,0.2
15-529,"Khichadi, with vegetable oil",Recipe. Mung bean and rice dish.,DR,4.8,5.2,27,169,0.2
18-493,"Kidney, lamb, fried in corn oil","10 samples, skin and core removed",MG,23.7,10.3,0,188,0
18-402,"Kidney, lamb, raw",10 samples,MG,17,2.6,0,91,0
18-404,"Kidney, ox, raw",12 samples,MG,17.2,2.1,0,88,0
18-405,"Kidney, ox, stewed","10 samples, skin and core removed",MG,24.5,4.4,0,138,0
18-407,"Kidney, pig, fried","10 samples, skin and core removed",MG,29.2,9.5,0,202,0
18-406,"Kidney, pig, raw",12 samples,MG,15.5,2.7,0,86,0
18-408,"Kidney, pig, stewed","20 samples, core removed. Salt added",MG,24.4,6.1,0,153,0
16-398,"Kippers, flesh only, boil in the bag, with butter, cooked","9 samples, 7 products, frozen and chilled",JC,18.6,13.2,Tr,193,Tr
16-397,"Kippers, flesh only, grilled","7 samples, 7 products, frozen and chilled",JC,21.7,17.6,0,245,0
16-476,"Kippers, flesh only, grilled, fillets weighed with bones and skin",Calculated from 16-397 using edible conversion factor of 0.89,JC,19.3,15.7,0,219,0
14-371,"Kiwi fruit, flesh only, raw","11 samples, imported. Including flesh and seeds",FA,0.8,0.9,8.6,44,8.3
14-373,"Kiwi fruit, flesh only, raw, weighed with skin",Calculated from 14-371,FA,0.6,0.7,6.2,32,6
12-605,"Knickerbocker glory, homemade","Recipe, containing raspberry sauce, peaches, ice cream, UHT canned spray cream and flaked almonds",BP,2.4,6.3,16.4,128,14.1
19-642,"Kofta, beef, homemade",Recipe,MR,25.3,20.5,1.3,290,0.8
19-594,"Kofta, lamb, coated with breadcrumbs, homemade",Recipe,MR,23.8,16,9.7,277,0.9
13-576,"Kohl rabi, boiled in unsalted water","Peeled thickly, diced and boiled 22 minutes, based on boiled in salted water",DG,1.2,0.2,3.1,18,3
13-261,"Kohl rabi, raw",Peeled thickly,DG,1.6,0.2,3.7,23,3.6
12-606,"Kulfi, homemade",Indian ice cream. Recipe,BP,5.7,42.4,13.8,457,13.6
14-125,"Kumquats, whole fruit, raw",Analysis and literature sources; whole fruit,FA,0.9,0.5,9.3,43,9.3
17-212,"Lager, alcohol-free","10 samples, including Kaliber, Beck's Blue, Equator, Bitburger Drive, Cobra Zero and Holsten Pils Alcohol Free",QA,0.4,Tr,1.5,7,1.2
17-676,"Lager, extra strong","Approx. 9% ABV, including Carlsberg Special Brew, Skol Super, Tennent's Super and Kestrel Super",QA,0.3,Tr,2.4,60,2.4
17-750,"Lager, low alcohol","2-3% ABV. 10 samples, including  Bavaria Permium, Carling Zest, Carling C2, Beck's Premier Light and own brand",QA,0.3,Tr,0.5,16,0.5
17-751,"Lager, premium","Approx. 5% ABV, 10 samples including Bitburger Pils, San Miguel, Stella Artois, Bud, Kronenbourg, Grolsch, Beck's and Carlsberg Export",QA,0.3,Tr,Tr,29,Tr
17-749,"Lager, standard","<4.5% ABV, canned and draught, including Skol, Hofmeister, Tennents, Carling Black Label, Stella Artois and Foster's",QA,0.3,Tr,Tr,24,Tr
19-598,"Lamb stir-fried with vegetables, homemade",Recipe,MR,16.4,18.4,2.3,244,2
18-478,"Lamb, average, raw, lean and fat",Calculated from 83% lean and 17% fat,MAE,19,12.3,0,187,0
18-103,"Lamb, best end neck cutlets, barbecued, lean",10 samples,MAE,27.7,13.9,0,236,0
18-105,"Lamb, best end neck cutlets, barbecued, lean and fat",Calculated from 73% lean and 27% fat,MAE,24.3,27.2,0,342,0
18-106,"Lamb, best end neck cutlets, barbecued, lean and fat, weighed with bone",Calculated from 18-105,MAE,17.5,19.6,0,246,0
18-104,"Lamb, best end neck cutlets, barbecued, lean, weighed with fat and bone",Calculated from 18-103,MAE,14.1,7.1,0,120,0
18-107,"Lamb, best end neck cutlets, grilled, lean",33 samples,MAE,28.5,13.8,0,238,0
18-109,"Lamb, best end neck cutlets, grilled, lean and fat",Calculated from 68% lean and 32% fat,MAE,24.5,29.9,0,367,0
18-110,"Lamb, best end neck cutlets, grilled, lean and fat, weighed with bone",Calculated from 18-109,MAE,17.6,21,0,259,0
18-108,"Lamb, best end neck cutlets, grilled, lean, weighed with fat and bone",Calculated from 18-107,MAE,13.7,6.6,0,114,0
18-101,"Lamb, best end neck cutlets, raw, lean and fat",Calculated from 66% lean and 34% fat,MAE,16.3,27.9,0,316,0
18-102,"Lamb, best end neck cutlets, raw, lean and fat, weighed with bone",Calculated from 18-101,MAE,11.9,20.4,0,231,0
18-111,"Lamb, breast, raw, lean",10 samples,MAE,19.6,11.2,0,179,0
18-112,"Lamb, breast, raw, lean and fat",Calculated from 66% lean and 33% fat,MAE,16.2,24.7,0,287,0
18-113,"Lamb, breast, roasted, lean",10 samples,MAE,26.7,18.5,0,273,0
18-114,"Lamb, breast, roasted, lean and fat",Calculated from 62% lean and 36% fat,MAE,22.4,29.9,0,359,0
18-117,"Lamb, chump chops, fried, lean",35 samples of a mixture of chops and steaks,MAE,28.1,11.2,0,213,0
18-119,"Lamb, chump chops, fried, lean and fat",Calculated from 76% lean and 24% fat,MAE,24.7,23.2,0,308,0
18-120,"Lamb, chump chops, fried, lean and fat, weighed with bone",Calculated from 18-119,MAE,20.5,19.3,0,256,0
18-118,"Lamb, chump chops, fried, lean, weighed with fat and bone",Calculated from 18-117,MAE,17.7,7.1,0,135,0
18-115,"Lamb, chump chops, raw, lean and fat",Calculated from 77% lean and 23% fat,MAE,18.3,18.8,0,242,0
18-116,"Lamb, chump chops, raw, lean and fat, weighed with bone",Calculated from 18-115,MAE,15.9,16.4,0,211,0
18-122,"Lamb, chump steaks, fried, lean and fat",Calculated from 80% lean and 19% fat,MAE,24.8,20.4,0,283,0
18-121,"Lamb, chump steaks, raw, lean and fat",Calculated from 79% lean and 19% fat,MAE,18.6,16.4,0,222,0
18-100,"Lamb, fat, average, cooked","Average of 8 different cuts, trimmed of lean",MAE,15.4,56.3,0,568,0
18-098,"Lamb, fat, average, raw","Average of 8 different cuts, trimmed of lean",MAE,13.3,51.6,0,518,0
18-099,"Lamb, fat, raw, average, extra trimmed",Weighted average of 7 different cuts,MAE,6.5,77.2,0,721,0
18-475,"Lamb, lean only, raw, average",Average of 8 different cuts,MAE,20.2,8,0,153,0
18-097,"Lamb, lean only, raw, average, extra trimmed",Weighted average of 7 different cuts,MAE,20,7.5,0,148,0
18-124,"Lamb, leg chops, grilled, lean and fat",Calculated from 91% lean and 9% fat,MAE,28.3,12,0,221,0
18-125,"Lamb, leg chops, grilled, lean and fat, weighed with bone",Calculated from 18-124,MAE,23.8,10.1,0,186,0
18-131,"Lamb, leg joint, roasted, lean",10 samples; boneless,MAE,30.8,9.6,0,210,0
18-132,"Lamb, leg joint, roasted, lean and fat",Calculated from 90% lean and 8% fat,MAE,29.7,13,0,236,0
18-133,"Lamb, leg steaks, grilled, lean",29 samples,MAE,29.2,9,0,198,0
18-134,"Lamb, leg steaks, grilled, lean and fat",Calculated from 94% lean and 6% fat,MAE,28,13.2,0,231,0
18-126,"Lamb, leg, half fillet, braised, lean",10 samples,MAE,27.3,10.5,0,204,0
18-127,"Lamb, leg, half fillet, braised, lean and fat",Calculated from 84% lean and 16% fat,MAE,25.6,17.1,0,256,0
18-128,"Lamb, leg, half knuckle, pot-roasted, lean",10 samples,MAE,29.4,9.3,0,201,0
18-129,"Lamb, leg, half knuckle, pot-roasted, lean and fat",Calculated from 89% lean and 11% fat,MAE,28.1,13.8,0,237,0
18-130,"Lamb, leg, half knuckle, pot-roasted, lean and fat, weighed with bone",Calculated from 18-129,MAE,20.5,10.1,0,173,0
18-137,"Lamb, leg, whole, roasted well done, lean",10 samples,MAE,31.3,9.2,0,208,0
18-138,"Lamb, leg, whole, roasted well done, lean and fat",Calculated from 89% lean and 11% fat,MAE,29.8,13.6,0,242,0
18-480,"Lamb, leg, whole, roasted, lean and fat",Calculated from 89% lean and 11% fat,MAE,28.1,14.2,0,240,0
18-479,"Lamb, leg, whole, roasted, lean only",10 samples,MAE,29.7,9.4,0,203,0
18-141,"Lamb, loin chops, grilled, lean",33 samples,MAE,29.2,10.7,0,213,0
18-477,"Lamb, loin chops, grilled, lean and fat",Calculated from 76% lean and 24% fat,MAE,26.5,22.1,0,305,0
18-496,"Lamb, loin chops, grilled, lean and fat, weighed with bone",Calculated from 18-477,MAE,21.5,17.9,0,247,0
18-142,"Lamb, loin chops, grilled, lean, weighed with fat and bone",Calculated from 18-141,MAE,17.8,6.5,0,130,0
18-145,"Lamb, loin chops, microwaved, lean",10 samples,MAE,32.4,12.5,0,242,0
18-147,"Lamb, loin chops, microwaved, lean and fat",Calculated from 72% lean and 28% fat,MAE,27.5,26.9,0,352,0
18-148,"Lamb, loin chops, microwaved, lean and fat, weighed with bone",Calculated from 18-147,MAE,22.5,22.1,0,289,0
18-146,"Lamb, loin chops, microwaved, lean, weighed with fat and bone",Calculated from 18-145,MAE,18.8,7.3,0,141,0
18-476,"Lamb, loin chops, raw, lean and fat",Calculated from 72% lean and 28% fat,MAE,17.6,23,0,277,0
18-497,"Lamb, loin chops, raw, lean and fat, weighed with bone",Calculated from 18-476,MAE,13.7,17.9,0,216,0
18-149,"Lamb, loin chops, roasted, lean",35 samples,MAE,34.4,13.3,0,257,0
18-151,"Lamb, loin chops, roasted, lean and fat",Calculated from 73% lean and 27% fat,MAE,29.1,26.9,0,359,0
18-152,"Lamb, loin chops, roasted, lean and fat, weighed with bone",Calculated from 18-151,MAE,22.4,20.7,0,316,0
18-150,"Lamb, loin chops, roasted, lean, weighed with fat and bone",Calculated from 18-149,MAE,19.3,7.4,0,144,0
18-153,"Lamb, loin joint, raw, lean and fat",Calculated from 66% lean and 34% fat,MAE,16.9,26.6,0,307,0
18-154,"Lamb, loin joint, raw, lean and fat, weighed with bone",Calculated from 18-153,MAE,13,20.5,0,236,0
18-155,"Lamb, loin joint, roasted, lean",10 samples,MAE,28.2,10.7,0,209,0
18-156,"Lamb, loin joint, roasted, lean and fat",Calculated from 78% lean and 22% fat,MAE,25.3,22.4,0,303,0
18-157,"Lamb, loin joint, roasted, lean and fat, weighed with bone",Calculated from 18-156,MAE,18.7,16.6,0,224,0
18-481,"Lamb, mince, raw",10 samples,MAE,19.1,13.3,0,196,0
18-159,"Lamb, mince, stewed",10 samples,MAE,24.4,12.3,0,208,0
19-608,"Lamb, mince, stewed with onions","Recipe, containing onion, stock, flour and seasoning",MR,10.6,8.5,2.8,129,0.6
18-160,"Lamb, neck fillet, raw, lean",10 samples,MAE,19.4,13.9,0,203,0
18-161,"Lamb, neck fillet, raw, lean and fat",Calculated from 87% lean and 12% fat,MAE,18.4,17.6,0,232,0
18-162,"Lamb, neck fillet, slices, grilled, lean",10 samples,MAE,27.9,19.1,0,284,0
18-163,"Lamb, neck fillet, slices, grilled, lean and fat",Calculated from 89% lean and 9% fat,MAE,26.3,21.9,0,302,0
18-164,"Lamb, neck fillet, strips, stir-fried  in corn oil, lean",10 samples,MAE,24.4,20,0,278,0
18-165,"Lamb, neck fillet, strips, stir-fried in corn oil, lean and fat",Calculated from 84% lean and 14% fat,MAE,23.2,23.1,0,301,0
18-188,"Lamb, New Zealand, leg, whole, chilled, roasted, lean",7 samples,MAE,28.8,10.2,0,207,0
18-189,"Lamb, New Zealand, leg, whole, chilled, roasted, lean and fat",Calculated from 92% lean and 8% fat,MAE,28,13.1,0,230,0
18-190,"Lamb, New Zealand, leg, whole, frozen, raw, lean and fat, weighed with bone",Calculated from 64% lean and 12% fat,MAE,15,11.1,0,160,0
18-191,"Lamb, New Zealand, leg, whole, frozen, roasted, lean",10 samples,MAE,30.6,9.3,0,206,0
18-192,"Lamb, New Zealand, leg, whole, frozen, roasted, lean and fat",Calculated from 89% lean and 11% fat,MAE,29,14.1,0,243,0
18-193,"Lamb, New Zealand, leg, whole, frozen, roasted, lean and fat, weighed with bone",Calculated from 18-192,MAE,21.2,10.3,0,178,0
18-194,"Lamb, New Zealand, loin chops, frozen, grilled, lean",44 samples,MAE,31.4,13.7,0,249,0
18-196,"Lamb, New Zealand, loin chops, frozen, grilled, lean and fat",Calculated from 75% lean and 25% fat,MAE,26.9,28.5,0,364,0
18-197,"Lamb, New Zealand, loin chops, frozen, grilled, lean and fat, weighed with bone",Calculated from 18-196,MAE,21.2,22.5,0,287,0
18-195,"Lamb, New Zealand, loin chops, frozen, grilled, lean, weighed with fat and bone",Calculated from 18-194,MAE,18.5,8.1,0,147,0
18-198,"Lamb, New Zealand, mince, frozen, stewed",8 samples,MAE,20.9,17.7,0,243,0
18-199,"Lamb, New Zealand, shoulder, whole, frozen, roasted, lean",9 samples,MAE,27.6,15.6,0,251,0
18-200,"Lamb, New Zealand, shoulder, whole, frozen, roasted, lean and fat",Calculated from 75% lean and 25% fat,MAE,24.6,27.9,0,350,0
18-168,"Lamb, rack of, lean, roasted",10 samples,MAE,27.1,13,0,225,0
18-166,"Lamb, rack of, raw, lean and fat",Calculated from 69% lean and 31% fat,MAE,17.3,23.8,0,283,0
18-167,"Lamb, rack of, raw, lean and fat, weighed with bone",Calculated from 18-166,MAE,12.5,17.1,0,204,0
18-169,"Lamb, rack of, roasted, lean and fat",Calculated from 66% lean and 34% fat,MAE,23,30.1,0,363,0
18-177,"Lamb, shoulder joint, roasted, lean",10 samples,MAE,28.4,13.5,0,235,0
18-178,"Lamb, shoulder joint, roasted, lean and fat",Calculated from 82% lean and 16% fat,MAE,25.9,19.8,0,282,0
18-172,"Lamb, shoulder, diced, kebabs, grilled, lean and fat",Calculated from 85% lean and 15% fat,MAE,28.5,19.3,0,288,0
18-173,"Lamb, shoulder, half bladeside, pot-roasted, lean",10 samples,MAE,26.2,14.3,0,234,0
18-174,"Lamb, shoulder, half bladeside, pot-roasted, lean and fat",Calculated from 72% lean and 28% fat,MAE,23.5,25.6,0,324,0
18-175,"Lamb, shoulder, half knuckle, braised, lean",10 samples,MAE,25.1,12.4,0,212,0
18-176,"Lamb, shoulder, half knuckle, braised, lean and fat",Calculated from 74% lean and 26% fat,MAE,22.9,23.4,0,302,0
18-170,"Lamb, shoulder, raw, lean and fat",Calculated from 76% lean and 24% fat,MAE,17.6,18.3,0,235,0
18-171,"Lamb, shoulder, raw, lean and fat, weighed with bone",Calculated from 18-170,MAE,14.1,14.6,0,188,0
18-179,"Lamb, shoulder, whole, roasted, lean",10 samples,MAE,27.2,12.1,0,218,0
18-180,"Lamb, shoulder, whole, roasted, lean and fat",Calculated from 78% lean and 22% fat,MAE,24.7,22.1,0,298,0
18-181,"Lamb, shoulder, whole, roasted, lean and fat, weighed with bone",Calculated from 18-180,MAE,19.5,17.5,0,235,0
18-184,"Lamb, stewing, pressure cooked, lean",10 samples,MAE,28.7,14.8,0,248,0
18-185,"Lamb, stewing, pressure cooked, lean and fat",Calculated from 82% lean and 18% fat,MAE,25.7,20.9,0,291,0
18-182,"Lamb, stewing, raw, lean and fat",Calculated from 80% lean and 20% fat,MAE,22.5,12.6,0,203,0
18-183,"Lamb, stewing, raw, lean and fat, weighed with bone",Calculated from 18-182,MAE,15.1,8.4,0,136,0
18-186,"Lamb, stewing, stewed, lean",10 samples,MAE,26.6,14.8,0,240,0
18-187,"Lamb, stewing, stewed, lean and fat",Calculated from 85% lean and 15% fat,MAE,24.4,20.1,0,279,0
19-600,"Lamb's heart casserole, homemade",Recipe,MR,11.8,8.1,9.9,161,0.6
19-601,"Lancashire hotpot, homemade",Recipe,MR,7.3,6.9,7.4,119,1.4
16-425,"Langoustine, boiled","Small, medium and large from 3 fishing areas",JK,19.7,0.8,0,86,0
17-010,Lard,"6 samples, 3 brands",OF,Tr,99,0,891,0
19-481,"Lasagne, homemade","Beef, Recipe",MR,9.6,9.6,15.2,180,2.8
19-482,"Lasagne, homemade, with extra lean minced beef",Recipe,MR,10.1,7,15.2,160,2.8
19-523,"Lasagne, retail, reheated","12 samples, 11 brands. 10-20% meat, chilled and frozen",MR,7.4,6.1,15.7,143,3
15-186,"Lasagne, spinach, wholemeal, homemade",Recipe from dietary survey records,DR,4.2,3.1,13,93,2.2
15-651,"Lasagne, vegetable, retail",8 assorted samples; cooked in conventional and microwave ovens according to packet directions,DR,4.8,5.3,13.4,117,4.4
15-188,"Lasagne, vegetable, wholemeal, homemade",Recipe from dietary survey records,DR,4.8,4.6,12.4,106,3
12-373,"Lassi, sweetened","5 samples, takeaway and retail",BN,2.6,0.9,12.3,65,11.9
15-190,Laverbread,6 samples; cooked pureed seaweed coated in oatmeal,DR,3.2,3.7,1.6,52,Tr
15-813,"Leeks in cheese sauce, made with semi-skimmed milk, homemade","Recipe, proportions derived from recipe review",DR,4,5.5,4.6,82,2.6
15-814,"Leeks in cheese sauce, made with skimmed milk, homemade","Recipe, proportions derived from recipe review",DR,4,5,4.6,79,2.6
15-815,"Leeks in cheese sauce, made with whole milk, homemade","Recipe, proportions derived from recipe review",DR,4,6,4.5,87,2.5
13-625,"Leeks, boiled in unsalted water","11 samples, UK, trimmed and damaged outer leaves removed. Sliced and boiled for 5-8 minutes",DG,1.2,0.2,2.5,16,2.3
13-624,"Leeks, raw","11 samples, UK, trimmed and damaged outer leaves removed",DG,1.5,0.2,4.1,23,3.8
13-626,"Leeks, roasted in rapeseed oil","Calculated from raw. Water and fat analysed, 2017. 11 samples, mainly UK, trimmed and damaged outer leaves removed. Whole, sliced, halved and roasted for 25-40 minutes",DG,1.7,1.9,4.5,41,4.2
19-602,"Lemon chicken, homemade",Recipe,MR,16.9,6.2,7.1,150,3.3
17-762,Lemon curd,"10 jars, 4 brands",SC,0.6,4.9,58.4,266,52.5
17-806,"Lemon curd, homemade",Recipe,S,4.2,16,50.7,350,50.7
14-277,"Lemon juice, fresh",Analysis and literature sources,PE,0.3,Tr,1.6,7,1.6
14-278,"Lemon juice, fresh, weighed as whole fruit",Calculated from 14-277,FC,0.1,Tr,0.6,2,0.6
14-337,Lemon peel,Literature sources,FA,1.5,0.3,N,N,N
16-380,"Lemon sole, flesh only, grilled","7 samples, 6 products, frozen and chilled",JA,21.5,0.6,0,91,0
16-379,"Lemon sole, flesh only, raw","7 samples, 6 products, frozen and chilled",JA,16.7,0.7,0,73,0
16-478,"Lemon sole, flesh only, steamed","Calculated based on 23.2% weight loss (as haddock, steamed in 2013 fish survey)",JA,21.7,0.9,0,95,0
16-496,"Lemon sole, flesh only, steamed, weighed with bones and skin",Calculated from steamed 16-478,JA,16.7,0.7,0,73,0
16-087,"Lemon sole, goujons, baked",Calculated from manufacturers' proportions,JA,16,14.6,14.7,187,0.9
17-179,Lemonade,"10 samples, 8 brands",PCA,Tr,0,5.8,22,5.8
17-807,"Lemonade, homemade",Recipe,PCC,Tr,Tr,16.7,63,16.7
14-130,"Lemons, flesh only, raw, weighed with peel and pips",Calculated from 14-129,FA,0.5,0.2,1.4,9,1.4
14-129,"Lemons, peeled, flesh only",Literature sources;,FA,0.8,0.3,2.2,14,2.2
14-128,"Lemons, whole, without pips",Includes peel but no pips. Analysis and literature sources,FA,1,0.3,3.2,19,3.2
15-200,"Lentil and nut roast, homemade",Recipe from review of recipe collection,DR,10.6,12.1,18.8,222,2.7
15-201,"Lentil and nut roast, with egg, homemade",Recipe from review of recipe collection,DR,10.8,12.1,17.6,218,2.6
15-817,"Lentil and potato pie, homemade",Recipe from dietary survey records,DR,5.3,2.2,18.6,111,1.4
15-818,"Lentil and rice roast, homemade",Recipe from dietary survey records,DR,5.1,1.8,25.2,131,1.1
15-819,"Lentil and rice roast, with egg, homemade",Recipe from dietary survey records,DR,5.5,2.1,24.1,131,1.1
15-820,"Lentil cutlets, fried in vegetable oil, homemade",Recipe. Gujerati dish.  Red lentil and potato cutlets.,DR,8.5,8.3,24.2,199,1.2
15-821,"Lentil pie, homemade",Recipe from review of recipe collection,DR,6.9,4.3,29.1,175,4.2
15-198,"Lentil roast, homemade",Recipe from review of recipe collection,DR,7.7,3,21.9,139,2.5
15-199,"Lentil roast, with egg, homemade",Recipe from review of recipe collection,DR,8.2,3.6,20.3,141,2.3
13-661,"Lentils, green and brown, whole, dried, boiled in unsalted water","11 samples, 10 products, soaked and boiled for 15-50 minutes",DB,7.8,0.7,14.5,92,0.2
13-089,"Lentils, green and brown, whole, dried, raw","10 samples, 6 brands. Continental type",DB,24.3,1.9,48.8,297,1.2
13-658,"Lentils, red, split, dried, boiled in unsalted water","10 samples, 10 products, boiled for 15-40 minutes",DB,8.1,0.7,16.9,102,0.4
13-657,"Lentils, red, split, dried, raw","10 samples, 10 products, as purchased",DB,25.6,1.8,51.2,311,1.3
